Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD,Consumer Discretionary,Equity,"132,944,517.11",0.02,"132,944,517.11","5,166,907.00"
INCY,INCYTE CORP,Health Care,Equity,"129,709,039.52",0.02,"129,709,039.52","1,877,936.00"
AIZ,ASSURANT INC,Financials,Equity,"128,409,826.02",0.02,"128,409,826.02","602,241.00"
BG,BUNGE GLOBAL SA,Consumer Staples,Equity,"127,490,397.12",0.02,"127,490,397.12","1,639,537.00"
BXP,BXP INC,Real Estate,Equity,"127,015,505.76",0.02,"127,015,505.76","1,708,116.00"
FOXA,FOX CORP CLASS A,Communication,Equity,"126,154,730.10",0.02,"126,154,730.10","2,596,845.00"
EMN,EASTMAN CHEMICAL,Materials,Equity,"124,294,738.80",0.02,"124,294,738.80","1,361,090.00"
UHS,UNIVERSAL HEALTH SERVICES INC CLAS,Health Care,Equity,"123,688,739.02",0.02,"123,688,739.02","689,381.00"
IPG,INTERPUBLIC GROUP OF COMPANIES INC,Communication,Equity,"122,557,826.82",0.02,"122,557,826.82","4,373,941.00"
NWSA,NEWS CORP CLASS A,Communication,Equity,"122,439,480.12",0.02,"122,439,480.12","4,445,878.00"
ERIE,ERIE INDEMNITY CLASS A,Financials,Equity,"120,713,723.13",0.02,"120,713,723.13","292,831.00"
ALB,ALBEMARLE CORP,Materials,Equity,"118,828,877.76",0.02,"118,828,877.76","1,380,447.00"
TAP,MOLSON COORS BREWING CLASS B,Consumer Staples,Equity,"117,561,944.32",0.02,"117,561,944.32","2,050,976.00"
PAYC,PAYCOM SOFTWARE INC,Industrials,Equity,"117,009,379.17",0.02,"117,009,379.17","570,861.00"
PNW,PINNACLE WEST CORP,Utilities,Equity,"113,145,655.49",0.02,"113,145,655.49","1,334,737.00"
LKQ,LKQ CORP,Consumer Discretionary,Equity,"112,178,493.00",0.02,"112,178,493.00","3,052,476.00"
LW,LAMB WESTON HOLDINGS INC,Consumer Staples,Equity,"111,899,483.70",0.02,"111,899,483.70","1,674,390.00"
CRL,CHARLES RIVER LABORATORIES INTERNA,Health Care,Equity,"110,844,177.60",0.02,"110,844,177.60","600,456.00"
GL,GLOBE LIFE INC,Financials,Equity,"109,929,947.84",0.02,"109,929,947.84","985,742.00"
ENPH,ENPHASE ENERGY INC,Information Technology,Equity,"108,952,441.04",0.02,"108,952,441.04","1,586,378.00"
RL,RALPH LAUREN CORP CLASS A,Consumer Discretionary,Equity,"108,819,297.60",0.02,"108,819,297.60","471,120.00"
GNRC,GENERAC HOLDINGS INC,Industrials,Equity,"108,321,341.10",0.02,"108,321,341.10","698,622.00"
AES,AES CORP,Utilities,Equity,"107,418,451.14",0.02,"107,418,451.14","8,346,422.00"
SOLV,SOLVENTUM CORP,Health Care,Equity,"107,127,652.32",0.02,"107,127,652.32","1,621,672.00"
HRL,HORMEL FOODS CORP,Consumer Staples,Equity,"107,022,048.85",0.02,"107,022,048.85","3,411,605.00"
HSIC,HENRY SCHEIN INC,Health Care,Equity,"101,312,952.00",0.02,"101,312,952.00","1,464,060.00"
FRT,FEDERAL REALTY INVESTMENT TRUST RE,Real Estate,Equity,"100,518,897.45",0.02,"100,518,897.45","897,891.00"
MKTX,MARKETAXESS HOLDINGS INC,Financials,Equity,"100,228,622.44",0.02,"100,228,622.44","443,411.00"
APA,APA CORP,Energy,Equity,"100,255,717.86",0.02,"100,255,717.86","4,341,954.00"
TFX,TELEFLEX INC,Health Care,Equity,"97,069,046.14",0.02,"97,069,046.14","545,393.00"
CPB,CAMPBELL SOUP,Consumer Staples,Equity,"96,592,450.80",0.02,"96,592,450.80","2,306,410.00"
MTCH,MATCH GROUP INC,Communication,Equity,"96,439,121.97",0.02,"96,439,121.97","2,948,307.00"
AOS,A O SMITH CORP,Industrials,Equity,"95,399,529.15",0.02,"95,399,529.15","1,398,615.00"
WYNN,WYNN RESORTS LTD,Consumer Discretionary,Equity,"93,587,681.28",0.02,"93,587,681.28","1,086,208.00"
IVZ,INVESCO LTD,Financials,Equity,"92,247,343.84",0.02,"92,247,343.84","5,277,308.00"
MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,Equity,"92,066,886.45",0.02,"92,066,886.45","2,657,053.00"
MOS,MOSAIC,Materials,Equity,"91,678,803.54",0.02,"91,678,803.54","3,729,813.00"
CE,CELANESE CORP,Materials,Equity,"88,699,536.00",0.02,"88,699,536.00","1,281,600.00"
HII,HUNTINGTON INGALLS INDUSTRIES INC,Industrials,Equity,"86,824,156.20",0.01,"86,824,156.20","459,460.00"
HAS,HASBRO INC,Consumer Discretionary,Equity,"86,060,473.88",0.01,"86,060,473.88","1,539,268.00"
CZR,CAESARS ENTERTAINMENT INC,Consumer Discretionary,Equity,"83,381,830.56",0.01,"83,381,830.56","2,494,968.00"
